view,repeat,step,t,pos_insertion,pos_axial,pos_large,pos_small,vel_insertion,vel_axial,vel_large,vel_small,tip_x,tip_y,tip_z,joint_dist,cmd_insertion,cmd_axial,cmd_large,cmd_small,goal_insertion,goal_axial,goal_large,goal_small
mid_esophageal_4chamber,1,1,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.3,0.2335674524307251,-0.13564382409830664,-0.12601488769054411,0.28506736464500426,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,2,0.1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.3,0.2335674524307251,-0.13564382409830664,-0.12601488769054411,0.28506736464500426,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,3,0.1508,0.23356028425527153,-0.13564382477440518,-0.12601503885803034,0.2850674881632349,-0.007168175453440412,-6.76099456520922e-07,-0.0001511674873778607,0.00012351823075570172,-0.009872039366768727,-0.008586672075460643,0.9916039206719551,0.3463477239043976,0.2414712429046631,-0.46102114788416193,0.08142719378471375,-0.007424338316917419,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,4,0.2009,0.24146407454073904,-0.46102114787574455,0.08142728119547904,-0.007424341707193527,-0.007168363923921272,8.417395262489456e-09,8.741076486033486e-05,-3.3902732068573134e-06,0.005214719386162097,-0.002300121204492039,1.001231177243436,0.47186065350981965,0.29102079868316655,-0.2116865399255063,-0.098267316198349,-0.03538182148933411,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,5,0.2509,0.29101363034506955,-0.21168653996634956,-0.09826741954957185,-0.03538183719405641,-0.00716833809701548,-4.0843483436120154e-08,-0.00010335122237386953,-1.5704718466686475e-05,-0.006452115397439198,0.0026529738590396913,1.0506541253923816,0.23622088432367333,0.2652323246002197,-0.7017216835590506,0.15915556025505065,-0.02279798140525818,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,6,0.3009,0.26522515639396194,-0.7017216835354756,0.15915572862695804,-0.022797991141845664,-0.007168206257735931,2.3575280496002818e-08,0.00016837190697322065,-9.736586588515598e-06,0.008986730404671866,-0.006551219459563438,1.0243314769198195,0.7207446879766567,0.27581343650817874,-0.07255249757702868,0.11198535346984863,0.031070111989974974,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,7,0.3509,0.2758062681944961,-0.07255249761518466,0.11198547190487318,0.031070125738255072,-0.007168313682670013,-3.815630633528777e-08,0.0001184350246542947,1.3748279819276067e-05,0.007721330879228276,-0.0016513342388708462,1.0353510140976923,0.13912332730360552,0.34258413314819336,-0.8964454893985955,0.16473348097801208,0.032110869455337525,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,8,0.4009,0.3425769649503518,-0.8964454894229236,0.16473364969826765,0.032110882715142175,-0.007168197841587573,-2.4326907329550536e-08,0.00016872025569688177,1.3259804421225382e-05,0.006287972666000761,-0.00966591043012738,1.1016115112025433,0.9130145659203612,0.28725237846374513,-0.10594597851526233,0.09990503926277161,0.03828107442855835,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,9,0.451,0.28724521012873316,-0.1059459785595788,0.09990514456238575,0.03828109142816505,-0.00716833501193268,-4.4316720982868844e-08,0.00010529961445561029,1.6999606770889095e-05,0.006798392019952475,-0.0020700333298079815,1.046870650025151,0.1511082886825525,0.34357876777648927,-0.9162780708423616,0.15854024376869202,0.03959540991783142,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,10,0.5014,0.3435715995631487,-0.9162780708741681,0.15854040631530086,0.03959542636150548,-0.007168213340783633,-3.180553498573765e-08,0.00016254660843793115,1.644367410545847e-05,0.005626043710978421,-0.009607540068929318,1.10266662474926,0.9317547132570613,0.28539266586303713,-0.09385670438846974,0.10193562111854552,0.04481867165565491,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,11,0.5509,0.2853854975322726,-0.09385670443985361,0.10193572872752377,0.044818691542821476,-0.007168330764533621,-5.138472638091954e-08,0.00010760897860676671,1.988716625356549e-05,0.006941274687582307,-0.002228466350912789,1.0449871669037383,0.14636349460678758,0.3430284023284912,-0.9053336647010588,0.1586722578048706,0.03956582379341125,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,12,0.6007,0.34302123411553204,-0.9053336647328497,0.15867242052092756,0.039565840225795235,-0.007168212959034881,-3.17890284803107e-08,0.0001627160571151102,1.643238337585114e-05,0.00573730320049198,-0.009551933646531592,1.1021148407904178,0.9209898282989767,0.28569059371948247,-0.10129703551955471,0.10076078982353211,0.041470009231567385,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,13,0.6508,0.2856834253863154,-0.10129703556738393,0.10076089613542649,0.04147002764639485,-0.007168333167010942,-4.7830639513098513e-08,0.00010631189440577234,1.841482699732185e-05,0.006855493072371983,-0.0021553376964081905,1.045298440477462,0.14946094843274613,0.3431866645812989,-0.9128080759717184,0.15916997880935668,0.04000156373977661,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,14,0.7008,0.34317949636975026,-0.9128080760035217,0.15917014201619928,0.04000158034347123,-0.00716821154854402,-3.1803982616943765e-08,0.00016320684218143765,1.6603692741124057e-05,0.006855493072301583,-0.002155337696407648,1.0452984404774888,0.9284494133034005,0.2846655130386353,-0.07829425208129351,0.12537307476997375,0.02562420530319214,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,15,0.7508,0.2846583447506429,-0.07829425211275565,0.12537320668218221,0.025624216496733077,-0.0071682879924123985,-3.146128289394835e-08,0.00013191220866283165,1.1193542787519703e-05,0.008654765734000439,-0.0015785114175925047,1.0440975198625828,0.1507991966972321,0.34212408065795896,-0.8909293753788768,0.15375684156417846,0.029059940814971923,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,16,0.8009,0.3421169124316024,-0.8909293754051268,0.15375699916509333,0.0290599529452793,-0.007168226356476218,-2.6249387256408784e-08,0.00015760091574800378,1.2130306422187497e-05,0.008654765733681997,-0.0015785114175248163,1.0440975198627234,0.9055466205171201,0.2846536159515381,-0.08900646386505497,0.11013902950286865,0.01895459403991699,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,17,0.8508,0.2846464476330381,-0.08900646388846978,0.11013914544488301,0.01895460241128699,-0.007168318500022327,-2.3415519824783488e-08,0.0001159420144872284,8.37137314587851e-06,0.007604050517637211,-0.0013446103182487314,1.0442160554925564,0.14369339057908537,0.34454886913299565,-0.9265738308106619,0.16388390979766845,0.02519370846748352,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,18,0.9016,0.34454170093221864,-0.9265738308304684,0.1638840774018151,0.025193718872200677,-0.007168200777040743,-1.9806815716671497e-08,0.00016760414725572895,1.0404714693195485e-05,0.007604050517254814,-0.0013446103182564147,1.0442160554927544,0.9423458714284476,0.2846498489379883,-0.05864854964464531,0.1302231393814087,0.03813052225112915,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,19,0.9509,0.2846426806614239,-0.05864854968922533,0.13022327652968002,0.038130538834296956,-0.007168276564308106,-4.457923280501225e-08,0.00013714827068089645,1.6583168546590066e-05,0.008992754022883518,-0.0018645609685435398,1.044024759970318,0.14861877196315368,0.34012689590454104,-0.852977207638754,0.1448516053676605,0.03662593674659729,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,20,1.0009,0.3401197276574145,-0.8529772076741586,0.1448517541969636,0.03662595217161613,-0.00716824712646886,-3.540251832557696e-08,0.00014882930236672525,1.542501855125362e-05,0.008992754022585408,-0.001864560968642828,1.0440247599704984,0.8668928425274516,0.2835826873779297,-0.12000927918818412,0.09906314549446106,0.0019054962158203124,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,21,1.0509,0.283575519039553,-0.12000927919059971,0.09906324983112391,0.0019054970664145188,-0.007168338376615979,-2.4170121029477917e-09,0.00010433666364071035,8.506180737478177e-07,0.006865306283109665,-0.000895054227331694,1.0432322631473185,0.15649009250697368,0.34425058364868166,-0.9409324302753922,0.1557932282924652,0.028300626039505006,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,22,1.1008,0.3442434154272668,-0.9409324303000728,0.15579338779711982,0.028300637818496455,-0.007168221414796583,-2.468111742185848e-08,0.0001595046543376102,1.1778989174894985e-05,0.006865306282692251,-0.0008950542271817022,1.043232263147507,0.9551878474841001,0.28251755237579346,-0.04397517702263521,0.1179194312095642,0.04610360827445984,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,23,1.1508,0.28251038407471457,-0.043975177076380705,0.11791955575420499,0.04610362852730088,-0.007168301078835061,-5.374603607265736e-08,0.00012454464078322117,2.0252841809069895e-05,0.008152008587359422,-0.001973333635985194,1.0419873398185886,0.13516755918771872,0.340594744682312,-0.8400224477695777,0.14582738571166992,0.03602578783035278,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,24,1.2009,0.34058757643743653,-0.8400224478042327,0.1458275354901053,0.03602580298846991,-0.0071682448753614455,-3.46546403936631e-08,0.00014977843502288446,1.5158116093706955e-05,0.008152008587024126,-0.001973333636103314,1.0419873398187636,0.8543117655540989,0.2835539340972901,-0.12268550641236156,0.08913494095802307,0.0019315245151519775,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,25,1.2509,0.28354676574332965,-0.12268550641460568,0.08913503488209962,0.0019315253798914966,-0.00716835396044647,-2.2446750841453823e-09,9.392407692070638e-05,8.647427638766251e-07,0.006176078322521405,-0.000829655298872697,1.0432688078707835,0.15254909909743616,0.34455945491790774,-0.9554382110022415,0.15917054057121277,0.02724058141708374,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,26,1.301,0.34455228670491284,-0.9554382110251883,0.15917070346190965,0.02724059272091406,-0.00716821299489447,-2.2947033975365454e-08,0.00016289069738204592,1.130383009926918e-05,0.005624953854660299,-0.009608391176911375,1.1036546004085224,0.9700125999542454,0.28314023017883305,-0.05984865741680828,0.10530057463645935,0.07009645714759827,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,27,1.3508,0.28313306185794734,-0.05984865748975413,0.10530068640890988,0.07009648817638858,-0.007168320885616633,-7.294644941745285e-08,0.0001117724506539824,3.102879019449225e-05,0.007188619501787743,-0.002886508891653777,1.0426598568445502,0.14095427492085474,0.33939547538757325,-0.8281211761709879,0.13889618067741394,0.05112557201385498,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,28,1.4009,0.339388307128534,-0.8281211762194215,0.13889632380571726,0.0511255936592141,-0.007168259039137976,-4.8433496423865915e-08,0.00014312830358967251,2.1645359657301e-05,0.005232103078876363,-0.008344275788759547,1.0986688738078219,0.8421651478987002,0.28149166107177737,-0.15283107514772942,0.06797355909347534,0.023624894857406615,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,29,1.4509,0.2814844926905515,-0.15283107517038164,0.06797363091331654,0.023624905550950537,-0.00716838122583216,-2.265188499639579e-08,7.181984128637883e-05,1.0693544464722538e-05,0.004572548518954113,-0.0015408652575093276,1.0413130960655381,0.16993737732027112,0.34142231941223145,-0.927470587889908,0.1705229986667633,0.046171394205093384,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,30,1.5009,0.341415151232003,-0.9274705879175901,0.17052317361159908,0.04617141315570983,-0.007168180228592827,-2.7681161646231098e-08,0.00017494483552599926,1.895061260054972e-05,0.004572548518867633,-0.0015408652574854828,1.0413130960655625,0.9450538917623358,0.2849855661392212,-0.06697178109492959,0.13945157589912413,0.03294602208137512,0.3,0.0,0.0,0.0
mid_esophageal_4chamber,1,31,1.5509,0.28497839788286783,-0.06697178113272718,0.1394517225567844,0.03294603630216297,-0.007168256353329933,-3.7796279740518034e-08,0.00014665765953494122,1.4220789158489278e-05,0.009628411753803781,-0.0018012907158780865,1.0442800536605061,0.1588807484572412,0.33947601318359377,-0.8508852113787126,0.13687702131271362,0.034010186290740964,0.3,0.0,0.0,0.0
