step,joint_dist
192,0.151621
193,0.950808
194,0.153308
195,0.892184
196,0.151622
197,0.950806
198,0.153308
199,0.892185
200,0.151622
201,0.950806
202,0.153308
203,0.892186
204,0.151621
205,0.950806
206,0.153308
207,0.892186
208,0.151622
209,0.950805
210,0.153308
211,0.892187
212,0.151620
213,0.950806
214,0.153309
215,0.892185
216,0.151621
217,0.950807
218,0.153308
219,0.892185
220,0.151621
221,0.950807
222,0.153308
223,0.892185
224,0.151621
225,0.950806
226,0.153309
227,0.892185
228,0.151621
229,0.950807
230,0.153308
231,0.892185
232,0.151621
233,0.950807
234,0.153308
235,0.892184
236,0.151621
237,0.950807
238,0.153309
239,0.892183
240,0.151622
241,0.950808
242,0.153308
243,0.892183
244,0.151622
245,0.950806
246,0.153308
247,0.892185
248,0.151621
249,0.950806
250,0.153309
251,0.892185
252,0.151621
253,0.950807
254,0.153309
255,0.892184
256,0.151621
257,0.950807
258,0.153309
259,0.892183
260,0.151622
261,0.950808
262,0.153309
263,0.892183
264,0.151622
265,0.950808
266,0.153309
267,0.892183
268,0.151622
269,0.950808
270,0.153309
271,0.892183
272,0.151622
273,0.950808
274,0.153309
275,0.892183
276,0.151622
277,0.950808
278,0.153309
279,0.892183
280,0.151622
281,0.950808
282,0.153309
283,0.892183
284,0.151622
285,0.950808
286,0.153309
287,0.892183
288,0.151622
289,0.950808
290,0.153309
291,0.892183
292,0.151622
293,0.950807
294,0.153308
295,0.892184
296,0.151622
297,0.950806
298,0.153309
299,0.892185
300,0.151621
301,0.950807
302,0.153308
303,0.892184
304,0.151621
305,0.950807
306,0.153309
307,0.892184
308,0.151621
309,0.950807
310,0.153309
311,0.892183
312,0.151621
313,0.950808
314,0.153309
315,0.892183
316,0.151622
317,0.950808
318,0.153309
319,0.892183
320,0.151622
321,0.950807
322,0.153308
323,0.892185
324,0.151621
325,0.950807
326,0.153308
327,0.892186
328,0.151622
329,0.950805
330,0.153308
331,0.892187
332,0.151620
333,0.950806
334,0.153309
335,0.892185
336,0.151621
337,0.950807
338,0.153308
339,0.892185
340,0.151621
341,0.950807
342,0.153308
343,0.892185
344,0.151621
345,0.950807
346,0.153308
347,0.892185
348,0.151621
349,0.950807
350,0.153308
351,0.892185
352,0.151621
353,0.950807
354,0.153308
355,0.892185
356,0.151621
357,0.950807
358,0.153308
359,0.892185
360,0.151621
361,0.950807
362,0.153308
363,0.892185
364,0.151621
365,0.950807
366,0.153308
367,0.892185
368,0.151621
369,0.950807
370,0.153308
371,0.892185
372,0.151621
373,0.950807
374,0.153308
375,0.892185
376,0.151621
377,0.950807
378,0.153308
379,0.892185
380,0.151621
381,0.950807
382,0.153308
383,0.892185
384,0.151621
385,0.950807
386,0.153308
387,0.892185
388,0.151621
389,0.950807
390,0.153308
391,0.892185
392,0.151621
393,0.950807
394,0.153308
395,0.892185
396,0.151621
397,0.950807
398,0.153308
399,0.892185
400,0.151621
401,0.950807
402,0.153308
403,0.892185
404,0.151621
405,0.950807
406,0.153308
407,0.892185
408,0.151621
409,0.950807
410,0.153308
411,0.892185
412,0.151621
413,0.950807
414,0.153308
415,0.892185
416,0.151621
417,0.950807
418,0.153308
419,0.892185
420,0.151621
421,0.950807
422,0.153308
423,0.892185
424,0.151621
425,0.950807
426,0.153308
427,0.892185
428,0.151621
429,0.950807
430,0.153308
431,0.892185
432,0.151621
433,0.950807
434,0.153308
435,0.892185
436,0.151621
437,0.950807
438,0.153308
439,0.892185
440,0.151621
441,0.950807
442,0.153308
443,0.892185
444,0.151621
445,0.950807
446,0.153308
447,0.892185
448,0.151621
449,0.950807
450,0.153308
451,0.892185
452,0.151621
453,0.950807
454,0.153308
455,0.892185
456,0.151621
457,0.950807
458,0.153308
459,0.892185
460,0.151621
461,0.950807
462,0.153308
463,0.892185
464,0.151621
465,0.950807
466,0.153308
467,0.892185
468,0.151621
469,0.950807
470,0.153308
471,0.892185
472,0.151621
473,0.950807
474,0.153308
475,0.892185
476,0.151621
477,0.950807
478,0.153308
479,0.892185
480,0.151621
481,0.950807
482,0.153308
483,0.892185
484,0.151621
485,0.950807
486,0.153308
487,0.892185
488,0.151621
489,0.950807
490,0.153308
491,0.892185
492,0.151621
493,0.950807
494,0.153308
495,0.892185
496,0.151621
497,0.950807
498,0.153308
499,0.892185
